student_name,roll_no,id,assignments_submitted,attendance_percentage,marks_subject1,marks_subject2,marks_subject3,marks_subject4,marks_subject5,avg_marks,assignment_score,attendance_score,final_numeric_score,calculated_grade,subjects_passed
Student_1,1001,9001,5,75,68,65,67,61,80,68.2,0.8333333333333334,0.75,0.741,B,5
Student_2,1002,9002,6,74,58,52,53,75,41,55.8,1.0,0.74,0.727,B,5
Student_3,1003,9003,4,62,98,31,60,68,62,63.8,0.6666666666666666,0.62,0.643,C,4
Student_4,1004,9004,6,96,86,97,37,48,48,63.2,1.0,0.96,0.808,B,4
Student_5,1005,9005,6,66,38,96,56,83,93,73.2,1.0,0.66,0.7979999999999999,B,4
Student_6,1006,9006,3,80,72,36,95,56,94,70.6,0.5,0.8,0.663,C,4
Student_7,1007,9007,4,68,39,58,83,76,35,58.2,0.6666666666666666,0.68,0.627,C,3
Student_8,1008,9008,4,98,96,57,52,86,40,66.2,0.6666666666666666,0.98,0.7270000000000001,B,5
Student_9,1009,9009,4,77,86,72,90,82,97,85.4,0.6666666666666666,0.77,0.781,B,5
Student_10,1010,9010,6,63,64,47,66,76,83,67.2,1.0,0.63,0.762,B,5
Student_11,1011,9011,5,84,77,86,69,36,94,72.4,0.8333333333333334,0.84,0.7800000000000001,B,4
Student_12,1012,9012,4,73,48,61,86,63,27,57.0,0.6666666666666666,0.73,0.631,C,4
Student_13,1013,9013,6,68,50,68,81,26,44,53.8,1.0,0.68,0.705,B,4
Student_14,1014,9014,3,85,84,59,30,27,83,56.6,0.5,0.85,0.6030000000000001,C,3
Student_15,1015,9015,5,61,65,89,52,80,60,69.2,0.8333333333333334,0.61,0.7180000000000001,B,5
Student_16,1016,9016,3,79,53,71,52,83,43,60.4,0.5,0.79,0.61,C,5
Student_17,1017,9017,5,87,39,27,68,26,91,50.2,0.8333333333333334,0.87,0.675,C,2
Student_18,1018,9018,6,66,69,25,54,26,43,43.4,1.0,0.66,0.649,C,3
Student_19,1019,9019,2,67,89,29,86,78,44,65.2,0.3333333333333333,0.67,0.56,C,4
Student_20,1020,9020,5,94,95,38,99,25,95,70.4,0.8333333333333334,0.94,0.79,B,3
Student_21,1021,9021,3,73,33,51,86,43,76,57.8,0.5,0.73,0.585,C,4
Student_22,1022,9022,6,76,25,33,25,26,57,33.2,1.0,0.76,0.618,C,1
Student_23,1023,9023,5,95,32,39,51,77,64,52.6,0.8333333333333334,0.95,0.7030000000000001,B,3
Student_24,1024,9024,2,99,87,66,86,68,63,74.0,0.3333333333333333,0.99,0.6679999999999999,C,5
Student_25,1025,9025,2,63,35,75,27,56,25,43.6,0.3333333333333333,0.63,0.444,D,2
Student_26,1026,9026,4,61,32,87,94,94,35,68.4,0.6666666666666666,0.61,0.664,C,3
Student_27,1027,9027,4,65,59,76,96,56,81,73.6,0.6666666666666666,0.65,0.698,C,5
Student_28,1028,9028,3,63,59,28,51,92,74,60.8,0.5,0.63,0.58,C,4
Student_29,1029,9029,5,88,57,47,33,79,47,52.6,0.8333333333333334,0.88,0.6890000000000001,C,4
Student_30,1030,9030,5,77,29,39,86,99,55,61.6,0.8333333333333334,0.77,0.7120000000000001,B,3
